Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,1.628540,1.739580,1.622290,1.730210,1.730210,863520
2010-02-12,1.684170,1.752290,1.673330,1.737290,1.737290,2149440
2010-02-16,1.777920,1.808650,1.750210,1.804580,1.804580,2403936
2010-02-17,1.827500,1.835630,1.801190,1.835210,1.835210,4794144
2010-02-18,1.832710,1.881040,1.822290,1.870000,1.870000,9716640
2010-02-19,1.853750,1.894380,1.843130,1.870000,1.870000,11620224
2010-02-22,1.889790,1.892080,1.835830,1.856880,1.856880,6375408
2010-02-23,1.851040,1.856670,1.759790,1.784380,1.784380,10279200
2010-02-24,1.815830,1.859380,1.806040,1.838330,1.838330,8827776
2010-02-25,1.753130,1.849900,1.743960,1.837290,1.837290,11403408
2010-02-26,1.828960,1.867920,1.813750,1.860210,1.860210,7200432
2010-03-01,1.900000,1.947920,1.883750,1.940000,1.940000,3556560
2010-03-02,1.958130,1.993750,1.946460,1.951670,1.951670,6055488
2010-03-03,1.968750,1.990630,1.943540,1.962500,1.962500,5994384
2010-03-04,1.965420,1.986880,1.938750,1.984170,1.984170,3684624
2010-03-05,2.023330,2.081040,2.015630,2.071880,2.071880,3357840
2010-03-08,2.078130,2.097920,2.073750,2.082920,2.082920,3167232
2010-03-09,2.069790,2.152290,2.069790,2.119790,2.119790,5802096
2010-03-10,2.122290,2.184580,2.121250,2.171670,2.171670,5006880
2010-03-11,2.156250,2.194720,2.144170,2.191670,2.191670,6739296
2010-03-12,2.214380,2.215830,2.171460,2.196670,2.196670,4514256
2010-03-15,2.181250,2.196880,2.135420,2.181880,2.181880,5295840
2010-03-16,2.200420,2.229380,2.180420,2.223130,2.223130,5824176
2010-03-17,2.230420,2.270210,2.220000,2.238540,2.238540,4974240
2010-03-18,2.244170,2.268330,2.231460,2.261250,2.261250,6546816
2010-03-19,2.274790,2.286040,2.197500,2.221250,2.221250,5002368
2010-03-22,2.196040,2.307920,2.186880,2.281250,2.281250,7349184
2010-03-23,2.290630,2.333960,2.261250,2.328960,2.328960,6912336
2010-03-24,2.313540,2.317500,2.281250,2.295830,2.295830,11151888
2010-03-25,2.351880,2.376460,2.279580,2.281460,2.281460,11739504
2010-03-26,2.315210,2.337290,2.257290,2.293330,2.293330,10534704
2010-03-29,2.326040,2.348540,2.307710,2.324790,2.324790,4754832
2010-03-30,2.344790,2.369380,2.301460,2.349170,2.349170,4985520
2010-03-31,2.325830,2.354170,2.301460,2.317500,2.317500,7441056
2010-04-01,2.347080,2.388130,2.261040,2.312920,2.312920,14574960
2010-04-05,2.337080,2.393750,2.312500,2.379790,2.379790,8444592
2010-04-06,2.360630,2.419580,2.346670,2.397920,2.397920,7341216
2010-04-07,2.386250,2.415830,2.342710,2.384380,2.384380,13278000
2010-04-08,2.359580,2.406880,2.324170,2.392920,2.392920,8705664
2010-04-09,2.404580,2.441880,2.382290,2.436040,2.436040,7259712
2010-04-12,2.444580,2.464580,2.428330,2.445830,2.445830,6099840
2010-04-13,2.440420,2.486670,2.415920,2.482710,2.482710,8403696
2010-04-14,2.521040,2.572240,2.512920,2.570210,2.570210,7636800
2010-04-15,2.565210,2.614170,2.565210,2.604580,2.604580,5721072
2010-04-16,2.576880,2.602290,2.463540,2.511880,2.511880,16184880
2010-04-19,2.486880,2.530830,2.416670,2.507920,2.507920,14091456
2010-04-20,2.549380,2.562500,2.499170,2.545000,2.545000,7056288
2010-04-21,2.595830,2.611880,2.541670,2.589790,2.589790,10502352
2010-04-22,2.516250,2.636880,2.471250,2.628130,2.628130,15355008
2010-04-23,2.625630,2.671180,2.599580,2.662920,2.662920,10293312
2010-04-26,2.668750,2.684790,2.630210,2.643130,2.643130,10066704
2010-04-27,2.617710,2.645420,2.458330,2.480000,2.480000,16717536
2010-04-28,2.516880,2.520630,2.425630,2.485830,2.485830,15648480
2010-04-29,2.522920,2.625210,2.520210,2.612710,2.612710,10612416
2010-04-30,2.610210,2.621040,2.452290,2.458750,2.458750,11060928
2010-05-03,2.487500,2.596250,2.486880,2.559170,2.559170,6572880
2010-05-04,2.462500,2.462500,2.277290,2.332920,2.332920,17154336
2010-05-05,2.259790,2.335630,2.216670,2.294580,2.294580,17326080
2010-05-06,2.244580,2.312080,1.416670,2.069790,2.069790,27225936
2010-05-07,2.024580,2.090210,1.785630,1.919170,1.919170,31031040
2010-05-10,2.162920,2.211880,2.149600,2.205420,2.205420,23701680
2010-05-11,2.141670,2.291670,2.130630,2.203960,2.203960,18385104
2010-05-12,2.238130,2.327500,2.225830,2.322710,2.322710,13570752
2010-05-13,2.307920,2.348750,2.203750,2.217710,2.217710,13233888
2010-05-14,2.163960,2.166250,2.010420,2.081250,2.081250,19273152
2010-05-17,2.108540,2.132710,1.975000,2.109380,2.109380,17107584
2010-05-18,2.158330,2.172920,1.991690,2.028750,2.028750,23851968
2010-05-19,1.998330,2.041670,1.904790,1.975210,1.975210,29748576
2010-05-20,1.858540,1.868960,1.738540,1.775420,1.775420,34141248
2010-05-21,1.660630,1.844380,1.649580,1.789170,1.789170,29285952
2010-05-24,1.801670,1.865630,1.783130,1.803960,1.803960,19550832
2010-05-25,1.666040,1.796880,1.616670,1.791250,1.791250,21638928
2010-05-26,1.829790,1.893750,1.722500,1.735830,1.735830,26053872
2010-05-27,1.852920,1.928540,1.836460,1.923750,1.923750,21670080
2010-05-28,1.935420,1.941880,1.843750,1.896880,1.896880,20833392
2010-06-01,1.873960,1.973750,1.833330,1.844380,1.844380,25336656
2010-06-02,1.870630,1.974170,1.835000,1.974170,1.974170,14197488
2010-06-03,1.990000,2.036670,1.951250,2.025420,2.025420,14365440
2010-06-04,1.906250,1.973960,1.798750,1.825420,1.825420,30770112
2010-06-07,1.849790,1.863330,1.716670,1.719580,1.719580,21132096
2010-06-08,1.727290,1.743330,1.641880,1.710000,1.710000,33253344
2010-06-09,1.744170,1.793540,1.653130,1.672290,1.672290,28683648
2010-06-10,1.731460,1.814570,1.716460,1.811040,1.811040,19550544
2010-06-11,1.755830,1.865630,1.754790,1.858330,1.858330,15665088
2010-06-14,1.913540,1.950210,1.851880,1.859380,1.859380,28589712
2010-06-15,1.890210,2.016880,1.884580,1.995210,1.995210,25046736
2010-06-16,1.993540,2.062500,1.983750,2.035420,2.035420,19797600
2010-06-17,2.067290,2.070420,2.002920,2.055830,2.055830,20402304
2010-06-18,2.066250,2.102920,2.040830,2.061460,2.061460,17445360
